,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Orang yang dites,Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis pertama (harian),Dosis kedua (harian),Dosis pertama (mingguan),Dosis kedua (mingguan),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian
2-Mar,2,0,2,2,2,100.00%,0,0,0.00%,0,0,0,0.00%,,,,,339,339,335,2,2,,,,,169.50,169.50,0.00,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,
3-Mar,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,,,341,341,337,2,2,,2,,,170.50,170.50,#DIV/0!,0.59%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
4-Mar,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,,,372,372,356,2,14,,31,,,186.00,186.00,#DIV/0!,0.54%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,,,388,388,371,2,15,,16,,,194.00,194.00,#DIV/0!,0.52%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
6-Mar,2,0,2,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,,,450,450,422,4,24,,62,,,112.50,112.50,31.00,0.89%,3.77%,100.00%,,,,,,,,,,,,,,,,,,,,,,,
7-Mar,0,0,0,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,,,454,454,422,4,28,,4,,,113.50,113.50,#DIV/0!,0.88%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,
8-Mar,2,1,1,6,6,100.00%,0,0,0.00%,,0,0,0.00%,,,,,483,483,445,6,32,,29,,,80.50,80.50,14.50,1.24%,8.00%,50.00%,,,,,,,,,,,,,,,,,,,,,,,
9-Mar,13,7,6,19,19,100.00%,0,0,0.00%,,0,0,0.00%,,,,,543,543,487,19,37,,60,,,28.58,28.58,4.62,3.50%,23.64%,216.67%,,,,,,,,,,,,,,,,,,,,,,,
10-Mar,8,5,3,27,27,100.00%,0,0,0.00%,,0,0,0.00%,,,,,694,694,648,27,19,,151,,,25.70,25.70,18.88,3.89%,4.73%,42.11%,,,,,,,,,,,,,,,,,,,,,,,
12-Mar,0,0,0,34,27,79.41%,1,3,8.82%,42.86%,2,4,11.76%,57.14%,,,,862,862,811,34,17,,168,,,25.35,25.35,#DIV/0!,3.94%,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,
13-Mar,35,,,69,60,86.96%,2,5,7.25%,55.56%,0,4,5.80%,44.44%,,,,"1,005",1005,917,69,19,,143,,4,14.57,14.57,4.09,6.87%,24.82%,102.94%,9.72%,,,,,,,,,,,,,,,,,,,,,,
14-Mar,27,,,96,83,86.46%,3,8,8.33%,61.54%,1,5,5.21%,38.46%,,,,"1,205",1205,"1,109",96,0,,200,,4,12.55,12.55,7.41,7.97%,12.33%,39.13%,11.26%,,,,,,,,,,,,,,,,,,,,,,
15-Mar,21,,,117,104,88.89%,0,8,6.84%,61.54%,0,5,4.27%,38.46%,,,,"1,293",1293,"1,167",117,9,,88,,5,11.05,11.05,4.19,9.05%,26.58%,21.88%,12.63%,,,,,,,,,,,,,,,,,,,,,,
